sample_ID	log_height	aryl-isoprenoids	biphytane
LU30	29.7	0	0
LU28	27.79	0	0
LU24	24.89	0	0
LU22	22.64	0	0
LU20	20.77	0	0
LU19	19.54	0	1
LU18	18.73	0	1
LU16	16.79	0	1
Long32	14.11	0	0
LU14	13.73	0	0
Long31	13.61	0	0
LU12	11.3	0	0
Long27	9.53	0	1
Long25	8.01	0	0
Long23	6.49	0	1
Long21	4.99	0	0
Long19	3.49	0	0
Long17	1.93	0	1
Long16	1.15	0	1
Long15	0.89	0	1
Long14	0.51	0	1
LU24.30.50	-0.23	0	0
LU23.30.20	-0.46	0	1
LU24.30.00	-0.86	0	1
LU23.06B	-30.58	1	1
Long5	-31.74	1	1
Long4	-33.76	1	1
Long3	-34.73	1	1
Long2	-36.87	1	1
LU23.4.5B	-37.17	1	1
LU23.02B	-40.51	1	1
LU23.0.1B	-41.51	1	1
